Dataset,Pass@k,Estimate,NumProblems,MinCompletions,MaxCompletions
humaneval-adb-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.21210191082802546,157,20,20
humaneval-adb-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.2838410529542631,157,20,20
humaneval-adb-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,157,20,20
humaneval-clj-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.36459627329192545,161,20,20
humaneval-clj-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.42203512599932036,161,20,20
humaneval-clj-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,161,20,20
humaneval-cpp-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.8369565217391305,161,20,20
humaneval-cpp-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.874622550689316,161,20,20
humaneval-cpp-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,161,20,20
humaneval-cs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.5382911392405064,158,20,20
humaneval-cs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.5755280793196692,158,20,20
humaneval-cs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,158,20,20
humaneval-d-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.2695512820512821,156,20,20
humaneval-d-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.352020905188326,156,20,20
humaneval-d-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,156,20,20
humaneval-dart-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.6789808917197452,157,20,20
humaneval-dart-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.7372808316094782,157,20,20
humaneval-dart-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,157,20,20
humaneval-elixir-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.44689440993788815,161,20,20
humaneval-elixir-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.5560208064919332,161,20,20
humaneval-elixir-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,161,20,20
humaneval-go-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.7136363636363636,154,20,20
humaneval-go-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.7892768995710172,154,20,20
humaneval-go-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,154,20,20
humaneval-hs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.4496794871794872,156,20,20
humaneval-hs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.583092891469886,156,20,20
humaneval-hs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,156,20,20
humaneval-java-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.7870253164556963,158,20,20
humaneval-java-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.806942430536505,158,20,20
humaneval-java-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,158,20,20
humaneval-jl-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.4915094339622642,159,20,20
humaneval-jl-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.562569554595958,159,20,20
humaneval-jl-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,159,20,20
humaneval-js-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.8413043478260869,161,20,20
humaneval-js-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.8801799223794109,161,20,20
