Dataset,Pass@k,Estimate,NumProblems,MinCompletions,MaxCompletions
humaneval-adb-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.15159235668789808,157,20,20
humaneval-adb-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.2427852510724077,157,20,20
humaneval-adb-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,157,20,20
humaneval-clj-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.3326086956521739,161,20,20
humaneval-clj-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.4394739060912166,161,20,20
humaneval-clj-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,161,20,20
humaneval-cpp-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.8161490683229814,161,20,20
humaneval-cpp-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.9006883882035316,161,20,20
humaneval-cpp-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,161,20,20
humaneval-cs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.0990506329113924,158,20,20
humaneval-cs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.1847640445927862,158,20,20
humaneval-cs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,158,20,20
humaneval-dart-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.42261146496815294,157,20,20
humaneval-dart-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.5442309657371479,157,20,20
humaneval-dart-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,157,20,20
humaneval-d-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.34519230769230763,156,20,20
humaneval-d-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.43247129547439145,156,20,20
humaneval-d-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,156,20,20
humaneval-elixir-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.0,161,20,20
humaneval-elixir-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.0,161,20,20
humaneval-elixir-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,161,20,20
humaneval-go-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.6038961038961039,154,20,20
humaneval-go-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.7321730127457682,154,20,20
humaneval-go-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,154,20,20
humaneval-hs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.46442307692307705,156,20,20
humaneval-hs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.703100721617035,156,20,20
humaneval-hs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,156,20,20
humaneval-java-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.16360759493670887,158,20,20
humaneval-java-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.24715834582786025,158,20,20
humaneval-java-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,158,20,20
humaneval-jl-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.21100628930817608,159,20,20
humaneval-jl-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.27589153452229565,159,20,20
